ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,UNIDAD_VIGENCIA_BOLSA,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,RED_DESTINO,TIPO_PAGO,DESTINO_LLAMADA,NOMBRE_TARIFA_PLAN,ORIGEN_LLAMADA,PRECIO_MENSUAL,SERVICIO_TP,DENOMINACION_TECNOLOGIA,OTROS_BENEFICIOS
4737,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,EUROPA,,EUROPA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
7012,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.2 Bs.Cada 1 Segs.,,,,,,Movil,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
6990,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,SudamÃ©rica,TELECENTROS,Cochabamba,2,LDI,OTROS,
5994,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,RURAL,2,LDN,OTROS,
4727,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,2,LDN,OTROS,
5662,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 3 SEG,,,,,,MÃVIL,,PerÃº,RURAL VSAT,NACIONAL RURAL,4,LDI,OTROS,
4726,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD  NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,2,LDN,OTROS,
5779,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,bolivia,TELEFONIA PUBLICA,SANTA CRUZ,1.84,LDN,OTROS,
7010,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,Europa,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
5660,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 3 SEG,,,,,,MÃVIL,,Otros Destinos Internacionales Celular,RURAL VSAT,NACIONAL RURAL,4,LDI,OTROS,
4723,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,RURAL,1.2,LOCAL,OTROS,
7007,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 6 Segs.,,,,,,Movil,,NorteamÃ©rica,TELECENTROS,Cochabamba,1,LDI,OTROS,
7825,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,MONEDERO,DURACIÃN LIMITADA,,,,,,FIJO,,CIUDAD,MONEDEROS,DEPARTAMENTO,0.5,LOCAL,OTROS,
5773,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,Fijo Local,,SANTA CRUZ,TELEFONIA PUBLICA,SANTA CRUZ,0.6,LOCAL,OTROS,
5664,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 4 SEG,,,,,,MÃVIL,,"Argentina, Austria, BÃ©lgica, Chile, Italia, Reino Unido, Uruguay",RURAL VSAT,NACIONAL RURAL,3,LDI,OTROS,
6976,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Fijo,,NorteamÃ©rica,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
4720,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,1.2,LOCAL,OTROS,
5789,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,"sud america, centro amercia, norte america, europa, africa, asia, oceania, chile, peru, venezuela, italia, ",TELEFONIA PUBLICA,SANTA CRUZ,4.5,LDI,OTROS,
5648,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 5 SEG,,,,,,MÃVIL,,A fijos en la Zona 3 excluyendo destinos rurales.,LDN  PUNTO VIVA ,Desde âPunto VIVAâ de la Zona 3,1.2,LDN,OTROS,
