ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,NOMBRE_TARIFA_PLAN,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,SMS_LIBRES,RED_DESTINO,TARIFA_SMS_ADICIONAL,MB_DISPONIBLES,ORIGEN_LLAMADA,PRECIO_MENSUAL,PRECIO_MB_ADICIONAL,DENOMINACION_TECNOLOGIA,TIPO_PAGO,OTROS_BENEFICIOS
12990,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,ENTERPRISE PLUS 200,0.80,0.80,0.80,0,,0.20,8000,,200,0.03,,,
12490,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PYME FACIL 100,0.83,0.83,0.83,0,,0.20,0,,100,0.029,,,
12523,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,INTELIGENTE FACIL 200,0.86,0.86,0.86,40,,0.20,1200,,200,0.029,,,
12566,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,A TU MEDIDA   PLAN S,1,1,1,0,,0.20,2500,,150,0.029,,,
9830,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO MINUTOS NACIONALES 4,15,15,15,0,,0.20,0,,15,0.15,,,
12972,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,EMPRESA 150,0.65,0.65,0.65,0,,0.20,9000,,150,0.03,,,
9820,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,PAQUETIGO DE MINUTOS TIGO,2,2,2,0,,0.20,0,,2,0.15,,,
9784,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,ENTERPRISE 200,0.85,0.85,0.85,200,,0.20,7000,,200,0.03,,,
10921,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,SIMPLE ILIMITADO 500,0.60,0.54,0.40,100,,0.20,18432,,500,0.02,,,
9863,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,MINISMART FF 300,0.83,0.69,0.69,0,,0.20,400,,300,0.03,,,
10897,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,SIMPLE ILIMITADO 200,0.70,0.54,0.40,100,,0.20,7168,,200,0.02,,,
11791,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,PLAN M PLUS   PARAMOUNT    ,1,1,1,0,,0.20,5000,,279,0.029,,,
9791,TELEFONICA CELULAR DE BOLIVIA S A  TELECEL S A ,TELECEL S.A.,,NEGOCIO 175,0.85,0.85,0.85,450,,0.20,7000,,175,0.03,,,
