ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Chuquisaca,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Beni,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
5985,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,Pando,,0,POSTPAGO,Internet satelital,TELECENTRO TIPO C,0.512,1711,0,SATELITAL
6196,DATALAN,DATALAN,La Paz,,150,PREPAGO,Servicio de internet de acceso fijo ,ESTUDIANTE,10,110,3,FIBRA
6200,DATALAN,DATALAN,La Paz,,150,PREPAGO,Servicio de internet de acceso fijo ,WASKIRI,25,235,7.5,FIBRA
6197,DATALAN,DATALAN,La Paz,,150,PREPAGO,Servicio de internet de acceso fijo ,PLAN HOGAR,20,200,6,FIBRA
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,La Paz,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Cochabamba,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Santa Cruz,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Oruro,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Tarija,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Potosi,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Chuquisaca,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
5521,AGENCIA BOLIVIANA ESPACIAL,AGENCIA BOLIVIANA ESPACIAL,Beni,,1500,PREPAGO,Ninguno,PLAN INICIAL   10000 MBPS MES,4,298,1,SATELITAL
