ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,MINUTOS_PULSOS_FIJOS,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,COSTO_INSTALACION,TIPO_PAGO,OTROS_BENEFICIOS,NOMBRE_TARIFA_PLAN,ANCHO_BANDA_BAJADA,PRECIO_MENSUAL,ANCHO_BANDA_SUBIDA,DENOMINACION_TECNOLOGIA
7568,COOPERATIVA DE TELECOMUNICACIONES  LA PAZ  RESPONSABILIDAD LIMITADA   COTEL R L ,COTEL R.L.,La Paz,,SOCIO,300,MINUTOS,0,0.19,0.14,0.09,200,POSTPAGO,,LINEA BASICA PACK,,52.5,,CABLE
7770,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,0,0,0,0.50,0.50,0.50,0,PREPAGO,,PLAN 1 000 PLUS,,0,,CABLE
7816,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,0,0,0,1.2,0,0,534,POSTPAGO,,ABONADO,,0,,CABLE
7819,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,"DOMICILIARIO, EMPRESA",0,0,0,1.5,1.10,0.70,0,POSTPAGO,,FIJO   M  VIL LOCAL,,0,,CABLE
7809,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,0,0,0,1.2,0,0,534,POSTPAGO,,ABONADO,,0,,CABLE
7814,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,36,0,0,280,POSTPAGO,,GEMELA,,36,,CABLE
7807,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,36,0,0,280,POSTPAGO,,GEMELA,,36,,CABLE
7812,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,EMPRESA,100,0,0,36,0,0,280,POSTPAGO,,INSTITUCIONES,,36,,CABLE
7815,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,50,0,0,280,POSTPAGO,,ARRENDATARIO,,50,,CABLE
7818,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,EMPRESA,100,0,0,36,0,0,280,POSTPAGO,,INSTITUCIONES,,36,,CABLE
7808,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,50,0,0,280,POSTPAGO,,ARRENDATARIO,,50,,CABLE
7805,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,36,0,0,280,POSTPAGO,,SOCIO,,36,,CABLE
7813,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,36,0,0,280,POSTPAGO,,SOCIO,,36,,CABLE
7817,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,36,0,0,280,POSTPAGO,,TRILLIZA,,36,,CABLE
7811,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,Potosi,,DOMICILIARIO,120,0,0,36,0,0,280,POSTPAGO,,TRILLIZA,,36,,CABLE
8038,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,Chuquisaca,,EJECUTIVA,65,LLAMADAS,0,0.00,0.00,0.00,280.2,POSTPAGO,,EJECUTIVA,,78,,CABLE
8039,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,Chuquisaca,,USUARIO,120,LLAMADAS,0,0.00,0.00,0.00,280.2,POSTPAGO,,USUARIO,,84,,CABLE
8040,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,Chuquisaca,,PREPAGO,0,LLAMADAS,0,0.00,0.00,0.00,280.2,PREPAGO,,PREPAGO,,0,,CABLE
8041,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,Chuquisaca,,NO SOCIO ILIMITADO CENTREX,0,LLAMADAS,0,0.00,0.00,0.00,280.2,POSTPAGO,,NO SOCIO ILIMITADO CENTREX,,139,,CABLE
8042,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,Chuquisaca,,SOCIO ILIMITADO CENTREX,0,LLAMADAS,0,0.00,0.00,0.00,280.2,POSTPAGO,,SOCIO ILIMITADO CENTREX,,100,,CABLE
8603,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,0,0.00,0.00,0.50,0.50,0.50,0,POSTPAGO,,PLAN 1 000 PLUS  IMPULSO 1001 EN ADELANTE ,,0,,CABLE
8604,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,no socios,0,0,0,0.50,0.50,0.50,0,PREPAGO,,PLAN 1 000  IMPULSO 1001 EN ADELANTE ,,0,,CABLE
8605,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,133,0.00,0.00,0.56,0.56,0.56,280,POSTPAGO,,PLAN SOCIO B  SICO ,,60.5,,CABLE
8606,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,80,0.00,0.00,0.50,0.37,0.25,185,POSTPAGO,,PLAN SOCIO INAL  MBRICO,,65.9,,CABLE
8607,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,80,0.00,0.00,0.56,0.56,0.56,280,POSTPAGO,,PLAN B  SICO SOCIO,,65.9,,CABLE
8608,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,Santa Cruz,,socios,267,0.00,0.00,0.56,0.56,0.56,280,POSTPAGO,,PLAN SOCIO INTERMEDIO,,109.9,,CABLE
