ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DESCRIPCION,COSTO_INSTALACION,TIPO_PAGO,VIGENCIA_BOLSA,UNIDAD_VIGENCIA_BOLSA,NOMBRE_TARIFA_PLAN,MB_DISPONIBLES,PRECIO_MENSUAL,MINUTOS_COMBOS,DENOMINACION_TECNOLOGIA
2792,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G   140,15360,140,0,PAQUETES
2794,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G   198,22.528,198,0,PAQUETES
2797,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G   20,1.536,20,0,PAQUETES
2799,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G   288,40960,288,0,PAQUETES
2791,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G   140,15360,140,0,PAQUETES
2811,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G POST  98,10240,98,0,PAQUETES
2809,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,1,MES,PAQUETE 4G POST 15,1024,15,0,PAQUETES
2808,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,24,HORA,PAQUETE 4G   7,1024,7,0,PAQUETES
2806,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G   50,5120,50,0,PAQUETES
2810,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,PAQUETE 4G POST 15,1024,15,0,PAQUETES
2897,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,,,4G POST   288,40960,288,,INTERNET MOVIL
2900,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,5,DIA,HABLADOR 10,100,10,12,COMBOS
2901,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,5,DIA,HABLADOR 10,100,10,12,COMBOS
2908,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,30,DIA,HABLADOR 100,1000,100,130,COMBOS
2909,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,30,DIA,HABLADOR 100,1000,100,130,COMBOS
2902,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,10,DIA,HABLADOR 15,200,15,18,COMBOS
2903,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,10,DIA,HABLADOR 15,200,15,18,COMBOS
2904,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,15,DIA,HABLADOR 30,300,30,38,COMBOS
2905,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,15,DIA,HABLADOR 30,300,30,38,COMBOS
2906,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,20,DIA,HABLADOR 50,500,50,65,COMBOS
2907,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,20,DIA,HABLADOR 50,500,50,65,COMBOS
2910,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,5,DIA,NAVEGADOR 10,1024,10,2,COMBOS
2911,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,PREPAGO,5,DIA,NAVEGADOR 10,1024,10,2,COMBOS
2918,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,POSTPAGO,30,DIA,NAVEGADOR 100,13312,100,15,COMBOS
